Number of Records,Address,Business Id,Categories,Cuisines,City_Old,City,Is Open,Latitude,Longitude,name,Neighborhood,Postal Code,Votes,rating,State
1,19701 Lake Rd,_4qndNOqaB-dDIPCI2MkCg,"Restaurants, Thai, Coffee & Tea, Food",Thai,Rocky River,Rocky River,1,41.4833991,-81.8400519,Cravings Cafe,,44116,64,4,OH
1,3434 Rue Saint-Denis,_4UyKqVcyO8xajUgMKK-Nw,"Restaurants, Indian",Indian,Montréal,Montréal,0,45.5171155,-73.5682195,Restaurant Nouveau Delhi,Plateau-Mont-Royal,H2X 3L3,4,3,QC
1,5000 S Arizona Mills Cir,_58OWmDQ7IUFe8WnKvwzhw,"Mexican, Food, Restaurants",Mexican,Tempe,Tempe,1,33.38312323,-111.9644849,Tinta Mexicana,,85282,29,2.5,AZ
1,1525 N Chester St,_5S-0t10CgqKuMW6yiklHQ,"Restaurants, Mexican",Mexican,Gastonia,Gastonia,1,35.280371,-81.188601,Los Arcos,,28052,21,3,NC
1,"6355 N Commerce St, Ste 103A",_5wi2C7x68Bt14qhdCqi1Q,"Restaurants, Fast Food, Mexican",Mexican,North Las Vegas,Las Vegas,1,36.2745259,-115.1443763,Roberto's Taco Shop,,89031,74,3,NV
1,1516 E Thomas Rd,_6mvQX9x66oz046eS5ii8w,"Restaurants, Mexican",Mexican,Phoenix,Phoenix,1,33.4804628,-112.049011,Juan's Authentic Mexican Food,,85014,203,4,AZ
1,2394 N Alma School Rd,_6PaV-VWPo5ZB_wigq_17g,"Sports Bars, Restaurants, Italian, Steakhouses, Bars, Nightlife",Italian,Chandler,Chandler,0,33.341688,-111.859617,Kiley's Grill,,85224,11,3.5,AZ
1,"2060 Symons Valley Parkway NW, Unit 2020",_6sE1Gn8K7qvoZ7kW9RBTw,"Imported Food, Tex-Mex, Specialty Food, Restaurants, Ethnic Food, Food, Mexican",Mexican,Calgary,Calgary,1,51.1680014,-114.1278695,Quesada,,T3P 0M9,9,3,AB
1,"6245 E Bell Rd, Ste105",_7FdoBvlZH64Zx52ISc59Q,"Pizza, Restaurants, Italian",Italian,Scottsdale,Scottsdale,0,33.63966991,-111.9449058,Gus's Pizza,,85254,25,3,AZ
1,424 S Main St,_7nELtYw3n2DzMN8252lhQ,"Italian, Restaurants",Italian,Pittsburgh,Pittsburgh,1,40.441158,-80.03373347,Village Tavern and Trattoria,West End,15220,45,3.5,PA
1,1488 Dundas Street E,_7tBGb6yVoiSiHq9NfQk8A,"Italian, Restaurants",Italian,Mississauga,Mississauga,1,43.6116279,-79.58121992,East Side Marios,Dixie,L4X 1L4,31,2.5,ON
1,1125 Dundas Street E,_8VVawSvZbHs7Jts1_768g,"Restaurants, Vietnamese",Vietnamese,Mississauga,Mississauga,1,43.6040563,-79.5907629,Pho Dau Bo,Dixie,L4Y 2C3,47,3.5,ON
1,"7425 S Durango Dr, Ste 101",_8yxceldCT7oe0wJC-yDPA,"Thai, Restaurants",Thai,Las Vegas,Las Vegas,0,36.0533813,-115.2795528,Benjarong Authentic Thai Cuisine,Southwest,89113,174,3.5,NV
1,993 Graham Rd.,_9JdskgVrCRg_Lq4_uUucw,"Tex-Mex, Restaurants, Fast Food, Mexican",Mexican,Cuyahoga Falls,Cuyahoga Falls,1,41.164006,-81.477507,Taco Bell,,44221,11,2,OH
1,216 S 1st St,_a6jhRFIgOe74U73T5B-Ww,"Mexican, Restaurants",Mexican,Champaign,Champaign,1,40.114786,-88.2384767,Fiesta Cafe,,61820,82,3.5,IL
1,18 Jane Street,_ahgIGB3sl5nNYa6WPPAdg,"Restaurants, Japanese, Thai, Sushi Bars",Thai,Toronto,Toronto,1,43.6497699,-79.4849799,ASA Sushi,,M6S 3Y2,48,3.5,ON
1,482 Rue Sainte-Catherine O,_albON51Beq790V0U0vtDA,"Vietnamese, Asian Fusion, Sandwiches, Restaurants",Vietnamese,Montréal,Montréal,0,45.50443532,-73.56851783,Ômai Prêt-à-Manger,Ville-Marie,H3B 1A6,8,4,QC
1,330 Bay Street,_AVXgkX4DiNQAQj_3tNhFQ,"Restaurants, Italian",Italian,Toronto,Toronto,1,43.6499932,-79.3811834,Locale Mercatto,Financial District,M5H 2S8,84,3,ON
1,16775 Yonge Street,_b8IGG_tsArBIMwlCVsWCQ,"Middle Eastern, Indian, Restaurants, Pakistani",Indian,Newmarket,Newmarket,1,44.0370666,-79.4754857,India Time,,L3Y 8J4,10,3.5,ON
1,549 Rue Saint-Georges,_BaA052qAWqhKbCQ4s-_8A,"Mexican, Restaurants",Mexican,Saint-Jérôme,Saint-Jérôme,1,45.7826093,-74.0016514,La Conquistadora,,J7Z 5B7,8,3.5,QC
1,722 W Hatcher Rd,_BCwZIK6GYht9cM-HGLduQ,"Mexican, Restaurants",Mexican,Phoenix,Phoenix,0,33.571532,-112.08354,Las Jicaras Mexican Grill,,85021,20,4.5,AZ
1,736 Bay Street,_BkpuQVbJTB6jht1eGvlNw,"Mexican, Tex-Mex, Restaurants",Mexican,Toronto,Toronto,0,43.6593936,-79.3853072,BarBurrito,Downtown Core,M5G 2R3,19,2.5,ON
1,8000 Hwy 27,_BLsLFpxcwj7y35a-BuObA,"Italian, Restaurants",Italian,Woodbridge,Woodbridge,1,43.776828,-79.626367,Sapore By Zafferano,,L4H 0S5,20,3.5,ON
1,1434 Rue Crescent,_BnBjRMt5Ba-TAv07r3fyw,"Italian, Bars, Nightlife, Wine Bars, Restaurants",Italian,Montréal,Montréal,1,45.497494,-73.576754,Wienstein & Gavino's,Ville-Marie,H3G 2B6,185,3.5,QC
1,3110 N Central Ave.,_bpNAXZqG28e8XplS1wbpw,"Mexican, Restaurants",Mexican,Phoenix,Phoenix,0,33.4841425,-112.0746935,Central Taco,,85012,9,2.5,AZ
1,"170 Bovaird Drive W, Unit 16",_BqdMrCHW_x4fn2Mr8E0Ow,"Restaurants, Italian",Italian,Brampton,Brampton,1,43.705219,-79.7905888,Bucatini,,L7A 1A1,13,3,ON
1,6343 Rue Sherbrooke E,_Bv81ovKeVbzN8xPh82Ehg,"Vietnamese, Restaurants",Vietnamese,Montréal,Montréal,1,45.579951,-73.545368,Restaurant Le Lai,Mercier-Hochelaga-Maisonneuve,H1N 1C3,4,2.5,QC
1,1593 N Eastern Ave,_cBlppMDZYXS-Bjj4l9qtw,"Restaurants, Mexican, Salvadoran, Latin American",Mexican,Las Vegas,Las Vegas,1,36.1882094,-115.1165816,El Buen Gusto,,89101,8,3,NV
1,4760 W Sahara Ave,_CgBou-sE-UW2j4otiKtlw,"Restaurants, Mexican",Mexican,Las Vegas,Las Vegas,0,36.1462228,-115.207528,Baja Fresh Las Vegas,Westside,89102,11,3.5,NV
1,72C Main Street N,_cgo1s9NZYv6wOtlMOlmmQ,"Italian, Pizza, Restaurants",Italian,Georgetown,Georgetown,1,43.6550669,-79.9336027,A Joe's Great 2 For 1 Pizza,,L7G 3H3,3,2.5,ON
1,1004 N. 24th St.,_cRDDAasE-4584eXN_5Ecw,"Tex-Mex, Fast Food, Restaurants, Mexican",Mexican,Phoenix,Phoenix,1,33.458733,-112.030345,Taco Bell,,85008,3,2.5,AZ
1,7520 McKnight Rd,_d69ooWJ_7AXYQRvVNSjmQ,"Pizza, Chicken Wings, Restaurants, Italian",Italian,Pittsburgh,Pittsburgh,0,40.543238,-80.01371,Pizza Hut,,15237,12,2,PA
1,6088 Mayfield Rd,_d76h17SjTnEq20u42Wwwg,"American (Traditional), Breakfast & Brunch, Restaurants, Dive Bars, Nightlife, American (New), Italian, Pubs, Bars",Italian,Mayfield Heights,Mayfield Heights,1,41.5197811,-81.4600367,Di Cillo Tavern,,44124,6,4,OH
1,2544 N 7th St,_DiGwfdiH913E4LURwb2qg,"Specialty Food, Restaurants, Grocery, Ethnic Food, Food, Indian, Buffets",Indian,Phoenix,Phoenix,1,33.4760486,-112.0654671,New India Bazaar,,85006,148,3.5,AZ
1,12501 Lorain Ave,_doekI31rRF3iLOZhbzVeg,"Restaurants, Mexican, Tacos, Desserts, Juice Bars & Smoothies, Food",Mexican,Cleveland,Cleveland,1,41.45976047,-81.7748696,Tapatia's Taqueria,Jefferson,44111,21,4.5,OH
1,797 E Ray Rd,_DyxQ_qmz2EN6RvPIvEV6A,"Mexican, Restaurants",Mexican,Gilbert,Gilbert,0,33.3204367,-111.7741953,Magana's Tacos,,85296,3,3.5,AZ
1,"4041 E Thomas Rd, Ste 107",_e3rChyednoh47n2cjGv2w,"Restaurants, Salad, Italian",Italian,Phoenix,Phoenix,1,33.47985225,-111.9939478,Adela's Italian,,85018,275,4.5,AZ
1,4745 Spring Mountain Rd,_e5KDltp_0XNkylTYR1V2w,"Soup, Vietnamese, Restaurants",Vietnamese,Las Vegas,Las Vegas,1,36.1249835,-115.2064306,Pho So 1,Chinatown,89102,80,4.5,NV
1,28611 Lake Rd,_ecuzP8HBsuQfYy7IR8Jyg,"Restaurants, Bars, Nightlife, Wine Bars, Italian",Italian,Bay Village,Bay Village,1,41.488526,-81.937159,Vento La Trattoria,,44140,48,4,OH
1,2895 N Green Valley Pkwy,_EIIcHRJVqaDRjcffDOBSg,"Restaurants, Italian",Italian,Henderson,Henderson,0,36.0741043,-115.0828384,Roma Bistro,,89014,8,4,NV
1,2450 Lakeshore W,_EmEL_Sh7UZiwfTRLf8hrA,"Restaurants, Thai",Thai,Oakville,Oakville,1,43.394346,-79.7115789,Thai Senses Restaurant,,L6L 1H7,23,4,ON
1,1045 Steeles Avenue W,_ESPB65ASmY9hBHflX2fnA,"Restaurants, Vietnamese",Vietnamese,Toronto,Toronto,1,43.791241,-79.4481321,Pho Saigon St,,M2R 2S9,16,3.5,ON
1,11359 Perry Hwy,_EVOLAjWYEfSOO_smbBxaA,"Fast Food, Mexican, Restaurants",Mexican,Wexford,Wexford,1,40.6230712,-80.05449849,Chipotle Mexican Grill,,15090,18,3,PA
1,17300 N Sun Village Pkwy,_eVRTu6051uIYbr4n_y9zQ,"Mexican, Restaurants",Mexican,Surprise,Surprise,1,33.6389409,-112.3681422,El Tepeyac Cafe,,85374,16,2.5,AZ
1,8777 W Grand Ave,_ex7M-yXGILBe2Kb1io2lQ,"Mexican, Restaurants, Fast Food",Mexican,Peoria,Peoria,1,33.59167,-112.2521345,Federico's Mexican Food,,85345,7,2.5,AZ
1,4500 E Tropicana Ave,_eYGcch95eygN_b_rigUkg,"Food, Grocery, Restaurants, Mexican",Mexican,Las Vegas,Las Vegas,1,36.1008737,-115.0755602,Cardenas Market,Eastside,89121,41,3,NV
1,"314 10th Street NW, Unit C2",_FALYkjieEE8IZGHslUcNA,"Restaurants, Thai",Thai,Calgary,Calgary,1,51.0544982,-114.0854914,Delicious-Thai,,T2N 1V8,28,3.5,AB
1,"240 N Jones Blvd, Ste E",_flZPT7fynq6WFzWvFOV4g,"Comfort Food, Mexican, Restaurants",Mexican,Las Vegas,Las Vegas,0,36.17560084,-115.2222652,Chicken Itza,Westside,89107,14,4.5,NV
1,"9010 W Flamingo Rd, Ste A",_Fo8uNT17BEBUkKvUXCZkQ,"American (New), Food, Restaurants, Mexican",Mexican,Las Vegas,Las Vegas,1,36.11544185,-115.2885658,Tacos La Carreta,Spring Valley,89147,49,4.5,NV
1,181 Wellington Street W,_fWZH1p8B_lwK4feQgtWkQ,"Music Venues, Breakfast & Brunch, Restaurants, Italian, Cocktail Bars, International, Seafood, Dinner Theater, Nightlife, Bars, Arts & Entertainment",Italian,Toronto,Toronto,1,43.64535547,-79.38717782,Ritz Bar,Entertainment District,M5V 3G7,7,3.5,ON
1,"3107 S Lindsay Rd, Ste 101",_FXa_6j-6UDsxWo-KX7WvQ,"Restaurants, Mexican, New Mexican Cuisine",Mexican,Gilbert,Gilbert,1,33.2937678,-111.7736197,New Mexican Grill,,85295,397,4,AZ
1,1162 Saint-Laurent,_Fy3ALeANfS_ziaB7wOE8g,"Thai, Restaurants, Chinese",Thai,Montréal,Montréal,1,45.508857,-73.562068,Jardin du Cerf,Ville-Marie,H2X 2S5,8,3,QC
1,5906 South Blvd,_giuQJ5eYQNxE_wtcNDm_A,"Mexican, Salvadoran, Latin American, Restaurants, Honduran",Mexican,Charlotte,Charlotte,1,35.1547932,-80.8765605,Lempira Restaurant,Starmount,28217,65,3.5,NC
1,4740 E Shea Blvd,_GKMtL4zFOlNc0U3gljT0w,"Italian, Pizza, Restaurants",Italian,Phoenix,Phoenix,0,33.583264,-111.978471,Momenti,,85028,18,3.5,AZ
1,120 Peter Street,_Gl7RqOkCUQr8kjN8yGf6w,"Restaurants, Food, Mexican",Mexican,Toronto,Toronto,1,43.64807115,-79.39341802,Burrito Gordito,Entertainment District,M5V 2G7,36,4,ON
1,1435 Gerrard Street E,_H2Q4Y4aosi-svXyfZIaIw,"Restaurants, Indonesian, Pakistani, Indian",Indian,Toronto,Toronto,1,43.6720771,-79.3220259,Lahore Paan Center,Leslieville,M4L 1Z7,12,3,ON
1,"4040 S Arizona Ave, Ste 17",_H4GXECi4nHfJTz4dsQV_w,"Mexican, Restaurants",Mexican,Chandler,Chandler,1,33.2466366,-111.8426811,Rita's Burritos,,85248,225,4.5,AZ
1,"1804 S Signal Butte, Ste 101",_HboH55t0MnGVaDxzuogdQ,"Fast Food, Restaurants, Event Planning & Services, Mexican, Salad, Caterers, Seafood",Mexican,Mesa,Mesa,1,33.3822423,-111.6003494,Rubio's,,85209,55,3.5,AZ
1,163 Boulevard Arthur-Sauvé,_hfYK_UzeppIFOn0DJOGGw,"Mexican, Restaurants",Mexican,Saint-Eustache,Saint-Eustache,1,45.56186327,-73.89440607,Chingón Cantina Mexicana,,J7P 2A4,3,4,QC
1,2235 Roxie St NE,_hiUiAXU-GVHUuIP_yqGxg,"Restaurants, Italian",Italian,Kannapolis,Kannapolis,0,35.46507,-80.593739,Johnny Carinos,,28083,11,2,NC
1,3737 Major Mackenzie Drive W,_HIZcnYBWdj5rGyCMe9xpw,"Mexican, Restaurants",Mexican,Vaughan,Vaughan,1,43.84450271,-79.55914266,Mucho Burrito,,L4L 1A7,8,3.5,ON
1,"2212 Union Rd, Ste 300",_hJy4lG6iuWIE95UYHJyiw,"Mexican, Restaurants",Mexican,Gastonia,Gastonia,1,35.232622,-81.167698,Tequila Mexican Restaurant,,28054,17,3.5,NC
1,8987 W Olive Ave,_Hs8WZ6OgeRabJntqR5vUA,"Restaurants, Mexican",Mexican,Peoria,Peoria,1,33.565975,-112.252921,El Tri Mexican Food,,85345,19,1.5,AZ
1,342 S Decatur Blvd,_HU30V8E6vuENIDsb0r82A,"Restaurants, Mexican",Mexican,Las Vegas,Las Vegas,0,36.16930023,-115.2061913,Los Tarascos Tacos,Westside,89107,4,4,NV
1,1862 Eglinton Avenue W,_HVgDyFLIYsYZrpajBSgGw,"Food, Pizza, Restaurants, Italian, Food Delivery Services, Chicken Wings",Italian,Toronto,Toronto,1,43.6956732,-79.4515145,Pizza Hut,,M6E 2J4,3,3.5,ON
1,3800 E Sky Harbor Blvd,_HVZ1V8IDa49MWdejx9BbA,"Mexican, Restaurants",Mexican,Phoenix,Phoenix,0,33.4352284,-111.9978273,America's Taco Shop,,85034,38,2,AZ
1,7365 W Sahara Ave,_I_N5HrVTXwJLuuuFoUjhA,"Asian Fusion, Restaurants, Thai, Sushi Bars",Thai,Las Vegas,Las Vegas,0,36.1433,-115.25354,Thai Wasabi,Westside,89117,13,3.5,NV
1,2915 19 Street NE,_I8E2Sf0iwZYANiGOszSKQ,"Vietnamese, Restaurants, Soup",Vietnamese,Calgary,Calgary,1,51.07812,-114.012105,Song Huong Vietnamese Restaurant,,T2E 7A2,42,4.5,AB
1,,_IDr3CT6dix48TaYExOsRw,"Mexican, Food, Restaurants, Caterers, Food Trucks, Event Planning & Services",Mexican,Glendale,Glendale,1,33.5349253,-112.1847509,Authenticos Mesquite Grille,,85301,3,5,AZ
1,"50 W Jefferson St, Ste 100",_iEl9sCLsvXEFHUWPvgsAg,"Tapas/Small Plates, Mexican, Restaurants",Mexican,Phoenix,Phoenix,1,33.44789103,-112.0738993,Chico Malo,,85004,303,4,AZ
1,740 Avenue Du Docteur-Penfield,_iemieI7L9YvPIMvXR31_w,"Vietnamese, Restaurants, Cafes",Vietnamese,Montréal,Montréal,1,45.5068059,-73.5794646,Vinh's Café,Ville-Marie,H3A 1A5,9,4,QC
1,316 Holland Street W,_IgwclMrHIY7tGTUmRUghQ,"Southern, Sri Lankan, Restaurants, Indian",Indian,Bradford West Gwillimbury,Bradford West Gwillimbury,1,44.111527,-79.576007,Golden Taste of Asia,,L3Z 1J2,3,4.5,ON
1,5032 N 7th St,_ikylomPLdTgVtE0xWR_1Q,"Breakfast & Brunch, Restaurants, Mexican",Mexican,Phoenix,Phoenix,1,33.5102487,-112.0652928,Rolberto's,,85014,32,3.5,AZ
1,"1467 N Dysart Rd, Ste 107",_iOYo01cCu0V55CC2j2IxQ,"Mexican, Restaurants",Mexican,Avondale,Avondale,0,33.430535,-112.345359,Don Rafa Taqueria,,85323,6,4,AZ
1,1832 W Thunderbird Rd,_IsmLuyEvcKzcBmbMHCCfg,"Mexican, Fast Food, Restaurants",Mexican,Phoenix,Phoenix,1,33.6113884,-112.0987488,Julioberto's,,85023,18,2.5,AZ
1,5955 Latimer Drive,_Izvv9Hj0sQRkj0l9fnP7A,"Restaurants, Food, Thai",Thai,Mississauga,Mississauga,0,43.6086493,-79.69815732,Thai Express,East Credit,L5V 2W1,6,2,ON
1,2091 Winston Park Drive,_j-JBXnTuXclA1lEzzezmQ,"Mediterranean, Seafood, Restaurants, Italian",Italian,Oakville,Oakville,1,43.5104917,-79.6692793,Trattoria Timone,,L6H 6P5,56,3.5,ON
1,5657 Darrow Rd,_JHc80efrQs66FcponywIQ,"Restaurants, Thai",Thai,Hudson,Hudson,1,41.2193179,-81.4394437,Pad Thai,,44236,82,3,OH
1,5900 W Flamingo Rd,_Jt9CLSL2sqF-yCNel9D-g,"Mexican, Bars, Nightlife, Restaurants, Sports Bars",Mexican,Las Vegas,Las Vegas,1,36.1149906,-115.2219381,Casa Robles,,89103,24,5,NV
1,"7582 S Las Vegas Blvd, Ste 241",_JusTiXCx4qqhO_HfLsUtQ,"Restaurants, Health Markets, Food, Gluten-Free, Food Delivery Services, Specialty Food, Thai",Thai,Las Vegas,Las Vegas,1,36.050351,-115.171564,Mr. Bangkok,Southeast,89123,4,5,NV
1,11105 S Eastern Ave,_JwfmRh0T8mEEx-A4FqMOw,"Italian, Restaurants",Italian,Henderson,Henderson,1,35.9904407,-115.1015968,Tuscany Grill,Anthem,89052,137,4,NV
1,613 College Street,_K03oh0gftzge5y-dku-6A,"Restaurants, Italian",Italian,Toronto,Toronto,1,43.654906,-79.4145612,La Forchetta,Little Italy,M6G,41,3.5,ON
1,203 E 7th St,_k3PJI3mSS3eIpV8FZ6Tqg,"Chinese, American (New), Restaurants, Italian",Italian,Tempe,Tempe,0,33.4229734,-111.9364826,Gluttons,,85281,26,3.5,AZ
1,7525 Granger Rd,_KaMPsrR7VMlQ-Dv2VArUA,"Restaurants, Italian",Italian,Valley View,Valley View,1,41.4144471,-81.6345535,Deanatella's Deli,,44131,22,5,OH
1,9595 S Eastern Ave,_Kd0kQ8RF70hJ1ykLqCRyQ,"Mexican, Restaurants",Mexican,Las Vegas,Las Vegas,1,36.01543533,-115.1194969,Cafe Rio,Southeast,89123,367,3.5,NV
1,29691 Lorain Rd,_Kf5Jgc8vhqZz5SEapklww,"Restaurants, Italian",Italian,North Olmsted,North Olmsted,1,41.4037341,-81.9490956,Corso's Italian Restaurant,,44070,26,3.5,OH
1,259 Morningside Avenue,_kH0FjXR4ZcNG9ZsJ2TT3g,"Pizza, Restaurants, Food, Italian, Food Delivery Services, Chicken Wings",Italian,Scarborough,Scarborough,1,43.7705231,-79.1864221,Pizza Hut,Scarborough,M1E 2M9,6,1.5,ON
1,8609 University Blvd,_Kp1IPTi17wBywYOd30raA,"Italian, Pizza, Chicken Wings, Restaurants",Italian,Coraopolis,Coraopolis,1,40.5072549,-80.2226832,Pizza Hut,,15108,8,1.5,PA
1,7708 Rea Rd,_kzB_xsb9DHUPfXB0XfQGA,"Tex-Mex, Tacos, Bars, Mexican, Nightlife, Restaurants",Mexican,Charlotte,Charlotte,1,35.0622814,-80.8154161,Cantina 1511,,28277,250,3.5,NC
1,848 Burnhamthorpe Road W,_leN3DDSaykQobM8FP9iaA,"Restaurants, Pizza, Italian, Food Delivery Services, Chicken Wings, Food",Italian,Mississauga,Mississauga,1,43.57571775,-79.65540868,Pizza Hut,,L5C 2S3,8,2.5,ON
1,45 W Broadway Rd,_LL6zdQBWKIAbNKeg3uBFA,"Mexican, Soup, Seafood, Restaurants",Mexican,Mesa,Mesa,1,33.4074987,-111.8330572,Restaurant Sinaloa,,85210,49,3.5,AZ
1,4578 Gibsonia Rd,_lLtkWriA6ksfv4LxIE-pQ,"Italian, Arts & Entertainment, Wineries, Restaurants, Food",Italian,Gibsonia,Gibsonia,1,40.60942862,-79.89444642,Narcisi Winery,,15044,17,4,PA
1,"4810 E Ray Rd, Ste 1",_LNVUUb8bTvOxfUNABf0xA,"Restaurants, Italian, Pizza, Chicken Wings",Italian,Phoenix,Phoenix,1,33.3211875,-111.9795022,Pizza Hut,,85044,6,3,AZ
1,259 Wellington Street,_LSwdNmiFSzRZQfG4g-qwA,"Indian, Restaurants",Indian,Toronto,Toronto,0,43.6447079,-79.3906704,259 Host,Entertainment District,M5V,91,3.5,ON
1,530 Eglinton Avenue W,_lW7i2zGl54a6XtumbtZFQ,"Canadian (New), Italian, Restaurants",Italian,Toronto,Toronto,0,43.7035934,-79.414273,Doppio Zero,,M5N 2K5,25,3,ON
1,5509 N 7th St,_mg5bYknpZgaWSfjQVmrJQ,"Italian, Pizza, Restaurants",Italian,Phoenix,Phoenix,1,33.51700641,-112.0646513,Spinato's Pizzeria,,85014,322,4,AZ
1,1135 E Glendale Ave,_MHUEErH3KW_KvVSOjyYhg,"Sandwiches, Pizza, Italian, Restaurants",Italian,Phoenix,Phoenix,1,33.53796718,-112.0571032,Pat's Pizza Plus,,85020,142,4,AZ
1,14290 State Rd,_mJG1LOO47P0OQOJTNKQxA,"Italian, Restaurants, Pizza",Italian,North Royalton,North Royalton,0,41.311528,-81.725577,My Pizzetta,,44133,48,4,OH
1,10 Boulevard Desaulniers,_MO8Ja3kG6vSTJCGECya_Q,"Thai, Restaurants",Thai,Saint-Lambert,Saint-Lambert,1,45.50274956,-73.51363178,La Colonie Thai,,J4P 1L1,7,4.5,QC
1,585 College Street,_MOZSg1ajEvkubHXM3aDFg,"Italian, Tapas/Small Plates, Nightlife, Restaurants, Bars, Wine Bars",Italian,Toronto,Toronto,1,43.65516592,-79.4133123,Il Covo,Little Italy,M6G 1B2,18,4,ON
1,6041 6 Street SE,_msEUWMQ1veNbx4wMvgdzQ,"Fitness & Instruction, Kickboxing, Muay Thai, Martial Arts, Active Life",Thai,Calgary,Calgary,1,50.9981208,-114.0501453,Mike Miles Muay Thai & Kickboxing,,T2H 1L8,3,4,AB
1,6310 Engle Rd,_MW_OR1UgzWoxzbhcOsIHA,"Restaurants, Italian, Caterers, Sandwiches, Event Planning & Services, Pizza",Italian,Brookpark,Brookpark,1,41.3943528,-81.8238199,Pasta Lears,,44142,25,3.5,OH
1,2831 N Power Rd,_myTPlWa8QRN5eavs-hNPg,"Wine Bars, Restaurants, Pizza, Nightlife, Italian, Bars",Italian,Mesa,Mesa,1,33.4668525,-111.6825913,Pacino's Italian,,85215,198,3.5,AZ
1,8145 Ardrey Kell Rd,_n5gPknmF6_WBrFngFb21w,"Food, Seafood, Indian, Restaurants, Desserts, Barbeque",Indian,Charlotte,Charlotte,1,35.0390014,-80.7935942,Amaravati Grill,,28277,29,3,NC
1,2929 State Rd,_Nitc4wBfIs4lZ45Oc5JOA,"Italian, Restaurants",Italian,Cuyahoga Falls,Cuyahoga Falls,1,41.1513957,-81.5080147,Piada Italian Street Food,,44223,15,4,OH
